Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
"Platelet Disorders/Laboratory of  Genetics and Genomics; Cincinnati Children's Hospital Medical Center, U Cincinnati College of Medicine",Assertion criteria,1,1,1,"Mar 27, 2020",507399,United States,USA
Maintenance myélinique et neuropathies périphériques; University of Limoges,Assertion criteria,1,1,8,"May 05, 2020",507409,France,FRA
St George's Genomics Service; St George's University Hospitals NHS FT,Assertion criteria,1,1,1,"Mar 16, 2020",507445,United Kingdom,GBR
Department of Pediatrics; The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University,Assertion criteria,1,1,1,"Apr 20, 2020",507472,China,CHN
Molecular Genetics Laboratory; Motol Hospital,-,1,1,1,"Jul 06, 2020",507473,Czechia,CZE
Department of Laboratory Medicine; Fuzhou Second Hospital Affiliated to Xiamen University,Assertion criteria,1,1,1,"Mar 10, 2020",507491,China,CHN
"Health Biotechnology Lab, Department of Biotechnology; Abdul Wali Khan University Mardan",Assertion criteria,1,1,1,"Aug 25, 2020",507600,Pakistan,PAK
School of Bio-Medicine; Mongolian National University of Medical Sciences,-,1,1,1,"May 24, 2020",507519,Mongolia,MNG
Department of Pediatrics; University Hospital Center Zagreb,Assertion criteria,1,1,1,"Jun 03, 2020",507523,Croatia,HRV
Department of Pediatrics; Asahikawa Medical University,-,1,1,1,"Jul 25, 2020",507682,Japan,JPN
Department of Neonatology; Xingtai People's Hospital,Assertion criteria,1,1,1,"Sep 11, 2020",507705,China,CHN
Prenatal Medicine Munich,Assertion criteria,1,1,1,"Feb 06, 2018",505658,Germany,DEU
Nowon Eulji Medical Center,-,1,1,1,"Sep 23, 2019",505650,"Korea, Republic of",KOR
QMC Molecular Diagnostics; Queen's Medical Center,Assertion criteria,1,1,1,"Feb 25, 2016",505717,United States,USA
Noelle C. Anastasio Laboratory; University of Texas Medical Branch,-,1,1,1,"Jan 17, 2020",507269,United States,USA
Research Centre for Medical Genetics; Federal State Budgetary Scientific Institution,Assertion criteria,1,1,1,"Nov 04, 2019",507291,Russian Federation,RUS
Department of Translational Medicine; University of Naples Federico II,-,1,1,,"Jun 08, 2020",507292,United States,USA
"Genetic Diagnosis Center, Faculty of Medicine; Trakya University",Assertion criteria,1,1,1,"Nov 26, 2019",507296,Turkey,TUR
Clinical Genetics Center; Tokyo Medical University Hospital,-,1,1,,"Mar 14, 2020",507172,Japan,JPN
Bioinformatics Research Center; Pavlov First St. Petersburg State Medical University,Assertion criteria,1,1,1,"Mar 27, 2020",507196,Russian Federation,RUS
"Farrar Lab, Smurfit Institute of Genetics; Trinity College Dublin",Assertion criteria,1,1,1,"Apr 08, 2020",507197,Ireland,IRL
Children's Hospital DNA Laboratory; University Medical Center Goettingen,-,1,1,1,"Apr 24, 2016",505786,Germany,DEU
Medical Genetics and Mitochondrial Research group; Latvian Biomedical Research and Study center,Assertion criteria,1,1,1,"May 13, 2016",505788,Latvia,LVA
Sección de Genética Clínica; Hospital Clinico Universidad de Chile,-,1,1,1,"Oct 18, 2019",507137,Chile,CHL
Neurology Institute; Anhui University of Chinese Medicine,Assertion criteria,1,1,1,"Jan 02, 2020",507139,China,CHN
Matlow's Ophthalmo-genetic Laboratory; Assaf Harofe Medical Center,Assertion criteria,1,1,1,"Oct 16, 2019",507167,Israel,ISR
Unit of Genetics of Neurodegenerative and Metabolic Disease; Fondazione IRCCS Istituto Neurologico Carlo Besta,-,1,1,1,"Sep 26, 2018",506667,Italy,ITA
Laboratorio de Biología Molecular; FLENI,Assertion criteria,1,1,1,"Apr 19, 2019",506677,Argentina,ARG
"Randwick Genomics Laboratory, Prince of Wales Hospital; New South Wales Health Pathology",Assertion criteria,1,1,1,"Mar 18, 2019",281385,Australia,AUS
Department of Pediatrics; Driscoll Children's Hospital,Assertion criteria,1,1,1,"Nov 15, 2018",506776,United States,USA
Translational Oncology and Experimental Therapeutics Program-IBMCC; Consejo Superior de Investigaciones Científicas,-,1,1,1,"Jul 16, 2020",506795,Spain,ESP
Department of Obstetrics and Gynecology; Montefiore Medical Center,-,1,1,43,"May 14, 2018",506584,United States,USA
InterGenetics; InterGenetics-Center for Human Genetics and Genomics,Assertion criteria,1,1,1,"Oct 29, 2018",506593,Greece,GRC
Neurogenetics Lab; King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College,Assertion criteria,1,1,1,"May 10, 2018",506604,India,IND
Weiss Lab; University of Miami,-,1,1,1,"Mar 14, 2018",506546,United States,USA
Clinical Genetics Laboratory; Harran University,-,1,1,1,"Oct 03, 2018",506539,Turkey,TUR
"Hwa Lab, Division of Endocrinology, Cincinnati Children's Hospital Medical Center; University of Cincinnati College of Medicine",-,1,1,1,"Feb 14, 2018",506507,United States,USA
National AIDS Research Institute,-,1,1,3,"May 13, 2018",506406,India,IND
Ambulatório de Genética Médica; Hospital Escola da Universidade Federal de Pelotas,Assertion criteria,1,1,1,"Mar 05, 2018",506422,Brazil,BRA
"Dpt. of Clinical Genetics, Molecular Genetics Lab 4062; University Hospital of Copenhagen, Rigshospitalet",-,1,1,1,"Oct 16, 2017",506367,Denmark,DNK
"Laboratory of Molecular Medicine, Department of Clinical Immunology, Section 7631; University Hospital of Copenhagen, Rigshospitalet",-,1,1,1,"Apr 09, 2015",506711,Denmark,DNK
Paediatric Endocrinology - Genetics and Genomic Medicine Program; University College London - Great Ormond Street Institute of Child Health,-,1,1,1,"Apr 05, 2018",506519,United Kingdom,GBR
Familial Cancer Clinical Unit; Spanish National Cancer Research Centre (CNIO),-,1,1,2,"May 05, 2020",506521,Spain,ESP
"Molecular Genetics Laboratory, Faculty of Medicine; Prince of Songkla University, Thailand",Assertion criteria,1,1,1,"Jun 13, 2018",506532,Thailand,THA
"Cipher Gene Genetics Laboratory; Cipher Gene, Inc",Assertion criteria,1,1,2,"Jul 22, 2020",506463,China,CHN
Piracicaba Dental School; University of Campinas,Assertion criteria,1,1,1,"Apr 10, 2018",506473,Brazil,BRA
Mark LeDoux Lab; University of Tennessee Health Science Center,Assertion criteria,1,1,1,"Sep 05, 2017",506317,United States,USA
Human Molecular Genetics Laboratory; Federal University of Parana,-,1,1,1,"Aug 24, 2017",506257,Brazil,BRA
Division of Medical Genetics at University of Versailles; Paris Saclay University,-,1,1,1,"Sep 14, 2018",506715,France,FRA
Pediatrics Department; University of Wisconsin,-,1,1,2,"Mar 11, 2015",506716,United States,USA
Institute of Human Genetics; Martin Luther University Halle-Wittenberg,-,1,1,1,"Jul 27, 2018",506656,Germany,DEU
Department of Neurology and Neurophysiology; Children's University Hospital,-,1,1,1,"Jun 27, 2018",506629,Ireland,IRL
Applied Bioinformatics Laboratories; New York University School of Medicine,Assertion criteria,1,1,1,"Oct 19, 2019",507181,United States,USA
Department of Urology; The First Affiliated Hospital of Henan University of Traditional Chinese Medicine,Assertion criteria,1,1,1,"Mar 12, 2019",506743,China,CHN
Pediatric Department; The First Affiliated Hospital of Guangxi Medical University,-,1,1,1,"Nov 30, 2018",506766,China,CHN
Laboratory of Human Genetics; Institute of Biosciences - University of Sao Paulo,Assertion criteria,1,1,1,"Feb 05, 2019",506820,Brazil,BRA
Genitourinary Malignancies Research Center; Cleveland Clinic,-,1,1,1,"Mar 12, 2019",506848,United States,USA
Laboratory for Clinical Genomics and Advanced Technology; Dartmouth-Hitchcock Medical Center,-,1,1,1,"Feb 11, 2019",506879,Lebanon,LBN
Coyote Medical Laboratory (Beijing); Coyote,-,1,1,1,"Jun 17, 2019",506852,China,CHN
Biologie des Tumeurs Solides; CHU de Montpellier,Assertion criteria,1,1,1,"Jan 30, 2019",506854,France,FRA
"Aziz Sancar Institute of Experimental Medicine, Department of Genetics; Istanbul University",-,1,1,1,"Aug 25, 2016",505963,Turkey,TUR
Thoracic Oncology Service; Memorial Sloan Kettering Cancer Center,-,1,1,1,"Feb 07, 2019",506875,United States,USA
Carson lab; Ohio State University Comprehensive Cancer Center,-,1,1,1,"Feb 08, 2018",506502,United States,USA
Department of Clinical Laboratory; Peking University People's Hospital,Assertion criteria,1,1,1,"Apr 18, 2018",506579,China,CHN
Department of Eugenics & Genetics; Women & Infants Hospital of Zhengzhou,Assertion criteria,1,1,1,"May 31, 2018",506609,China,CHN
Department of Medical Bioinformatics; Sinopath Diagnosis,Assertion criteria,1,1,1,"Apr 27, 2018",506527,China,CHN
Otorhinolaryngology Lab - LIM32; University of Sao Paulo School of Medicine Clinics Hospital,Assertion criteria,1,1,1,"May 23, 2018",506548,Brazil,BRA
"Laboratory of genome diagnostics; Academic Medical Center, University of Amsterdam",-,1,1,1,"Oct 08, 2019",76327,Netherlands,NLD
Department of Traditional Chinese Medicine; Fujian Provincial Hospital,-,1,1,2,"Oct 10, 2017",506270,China,CHN
Department of Transfusion Medicine; Fujian Provincial Hospital,-,1,1,1,"May 06, 2020",507576,China,CHN
Moosajee Lab; UCL Institute of Ophthalmology,Assertion criteria,1,1,12,"Jul 23, 2020",507479,United Kingdom,GBR
Genetic Research; Kawsar Human Genetics Research Center,Assertion criteria,1,1,1,"Aug 01, 2019",506295,"Iran, Islamic Republic of",IRN
David Buchner Laboratory; Case Western Reserve University,Assertion criteria,1,1,1,"Oct 16, 2017",506316,United States,USA
Center of Excellence in Medical Genetics Research; Chiang Mai University,-,1,1,1,"Jan 04, 2019",506470,Thailand,THA
"University of Uludag Hospital, Genetic Diseases Diagnostic Center; University of Uludag",Assertion criteria,1,1,2,"Apr 17, 2018",506472,Turkey,TUR
Clinical Genetics Department; Hospital Sant Joan de Deu,-,1,1,1,"Dec 06, 2017",506438,Spain,ESP
Medical Genetics; Hospital Clinico Universitario Virgen de la Arrixaca,Assertion criteria,1,1,1,"Mar 24, 2018",506552,Spain,ESP
"Department of Clinical and Movement Neurosciences, Institute of Neurology; University College London",-,1,1,1,"Feb 26, 2019",506897,United Kingdom,GBR
School of Biological Sciences;  University of the Punjab,Assertion criteria,1,1,1,"Mar 02, 2015",505379,Pakistan,PAK
Pediatric Leukemia/Lymphoma; Memorial Sloan Kettering Cancer Center,-,1,1,2,"Nov 01, 2018",506771,United States,USA
"Human Population Biology Research Unit, Department of Anatomy and Anthropology, Sackler Faculty of Medicine; Tel Aviv University",-,1,1,2,"Feb 19, 2015",505381,Israel,ISR
Neurology Department，The First Affiliated Hospital of Zhengzhou University; Zhengzhou University,Assertion criteria,1,1,1,"Jul 01, 2020",507534,China,CHN
Pathophysiology of Heart Rhythm Disorders; Université Lyon 1 Claude Bernard,-,1,1,1,"Aug 16, 2018",506678,France,FRA
Department of Pediatrics; Uniklinik RWTH Aachen,-,1,1,1,"Oct 10, 2017",506358,Germany,DEU
"Department of Pediatrics, Tongji Hospital; Tongji Medical College, Huazhong University of Science and Technology",Assertion criteria,1,1,1,"Nov 24, 2019",507198,China,CHN
"Department of Laboratory Medicine, Kangbuk Samsung Hospital; Sungkyunkwan University School of Medicine",-,1,1,1,"Oct 10, 2017",506359,"Korea, Republic of",KOR
"Medical Genetics Center; Academic Academic Center for Education, Culture and Research (ACECR), Khorasan Razavi",-,1,1,1,"Dec 06, 2017",506416,"Iran, Islamic Republic of",IRN
Jacobi Internal Medicine Residency Program; Jacobi Medical Center,-,1,1,1,"Dec 14, 2017",506417,United States,USA
"Genetics of Cognitive Dysfunction Laboratory; I3S-IBMC, University of Porto",Assertion criteria,1,1,1,"Jun 10, 2017",506228,Portugal,PRT
Limoges University Hospital Laboratory; Limoges University Hospital,-,1,1,78,"May 31, 2017",506201,France,FRA
"AlTemaimi Lab, Faculty of Medicine; Kuwait University",-,1,1,1,"Feb 20, 2019",506203,Kuwait,KWT
Zheng Lab; Zhongnan Hospital of Wuhan University,-,1,1,1,"Jun 08, 2017",506204,China,CHN
Medical Genetics Laboratory; Aldo Moro University of Bari,-,1,1,,"Mar 31, 2019",506125,Italy,ITA
Fundacion Publica Galega de Medicina Xenomica; Servicio Galego de Saude,-,1,1,1,"May 23, 2017",506148,Spain,ESP
"Cancer Prevention Center, Yonsei Cancer Center; Severance Hospital, Yonsei University College of Medicine",Assertion criteria,1,1,1,"Jun 20, 2017",506097,"Korea, Republic of",KOR
Division of Laboratory Medicine and Clinical Genetics; Chiba University Hospital,-,1,1,1,"Feb 03, 2017",506053,Japan,JPN
Caryl and Israel Englander Institute for Precision Medicine; Weill Cornell Medicine,-,1,1,1,"Mar 28, 2017",506076,United States,USA
"National Centre for Medical Genetics; Crumlin Children's Hospital, Dublin",-,1,1,1,"Dec 15, 2016",506023,Ireland,IRL
Neuromuscular Department; Hannover Medical School,Assertion criteria,1,1,1,"Feb 10, 2020",507440,Germany,DEU
Genetics of Mitochondrial Disorders; HelmholtzZentrum Munchen,-,1,1,1,"Sep 14, 2016",505923,Germany,DEU
Medical Genetics Unit; Zeynep Kamil Women and Children's Hospital,-,1,1,1,"Aug 17, 2016",505891,Turkey,TUR
Clinical Genetics; Charité Universitaetsmedizin Berlin,-,1,1,1,"May 22, 2017",506134,Germany,DEU
Department of Obstetrics and Gynecology; Helsinki University Hospital,-,1,1,2,"May 02, 2017",506196,Finland,FIN
Department of Laboratory Medicine; Daejeon St. Mary’s Hospital,-,1,1,1,"Jun 18, 2017",506198,"Korea, Republic of",KOR
Maesawa Lab; Iwate Medical University,-,1,1,1,"Feb 03, 2017",506071,Japan,JPN
Laboratorio de Polimorfismos e Ligação; UNIVERSIDADE FEDERAL DO PARANA,Assertion criteria,1,1,1,"Aug 13, 2020",506088,Brazil,BRA
"MIND Institute, Wet lab; University of California Davis",-,1,1,5,"Jul 08, 2016",505837,United States,USA
"Marco Cassone, private practice; Marco Cassone, clinical geneticist",Assertion criteria,1,1,1,"May 11, 2019",505846,Italy,ITA
UDP Translational Laboratory; National Institute of Health,-,1,1,1,"Dec 23, 2016",505844,United States,USA
"Institute of Biochemistry, Molecular Biology and Biotechnology; University of Colombo",-,1,1,1,"Aug 09, 2016",505886,Sri Lanka,LKA
Hematology and Blood Transfusion; Iran University of Medical Sciences,-,1,1,1,"Jun 19, 2019",507026,"Iran, Islamic Republic of",IRN
"Rajaie Cardiovascular, Medical and Research Center; Iran University of Medical Sciences",Assertion criteria,1,1,1,"May 02, 2020",507505,"Iran, Islamic Republic of",IRN
"Endocrine Research Center,  Institute of Endocrinology and Metabolism; Iran University of Medical Sciences",Assertion criteria,1,1,1,"Jul 07, 2020",507531,"Iran, Islamic Republic of",IRN
Department of Women and Children's Health; University of New South Wales,Assertion criteria,1,1,1,"Feb 12, 2016",505739,Australia,AUS
"Cure Brain Cancer Foundation Neuro-Oncology Group, Adult Cancer Program; University of New South Wales",-,1,1,1,"Mar 30, 2019",506951,Australia,AUS
Clinical Genetics; CHU RENNES,-,1,1,1,"Jun 14, 2020",507619,France,FRA
Medical Genome Center; National Center of Neurology and Psychiatry,Assertion criteria,1,1,1,"May 29, 2019",507002,Japan,JPN
Brunetti-Pierri's lab; TIGEM (Telethon Institute of Genetics and Medicine),-,1,0,1,"Nov 04, 2013",500173,Italy,ITA
Stoller Lab; Children's Hospital of Philadelphia,-,1,0,1,"May 10, 2013",500123,United States,USA
Neuromuscular Disease Laboratory; Mayo Clinic College of Medicine,Assertion criteria,1,1,1,"Nov 04, 2019",289519,United States,USA
Miami Human Genetics; University of Miami Miller School of Medicine,Assertion criteria,1,1,1,"Nov 24, 2015",505599,United States,USA
Dr. Liu's Molecular Genetics Laboratory; University of Miami Miller School of Medicine,-,1,1,1,"Aug 16, 2017",506300,United States,USA
Laboratory of Personalized Genomic Medicine; Columbia University Medical Center,Assertion criteria,1,1,2,"Aug 04, 2016",505887,United States,USA
"Laboratory of Dr Salvatore DiMauro, H. Houston Merritt Clinical Research Center.; Columbia University Medical Center",Assertion criteria,1,1,1,"Jul 24, 2017",506137,United States,USA
Northern Molecular Genetics Service; Newcastle Upon Tyne Hospitals NHS Foundation Trust,Assertion criteria,1,1,1,"Jul 06, 2020",243174,United Kingdom,GBR
Center for Genomic Medicine; University of Copenhagen,-,1,1,1,"Feb 04, 2016",505691,Denmark,DNK
"Chehab Lab; University of California, San Francisco",-,1,1,1,"Jul 27, 2014",505247,United States,USA
Department of Obstetrics and Gynecology; Medical College of Wisconsin,-,1,1,1,"Jan 10, 2020",507295,United States,USA
Routes Lab; Medical College of Wisconsin,Assertion criteria,1,1,1,"Feb 14, 2019",506876,United States,USA
Children's Hospital of Wisconsin Genetics Clinic; Medical College of Wisconsin,-,1,1,1,"Apr 09, 2019",506918,United States,USA
Magee Womens Research Institute; University of Pittsburgh Medical Center,-,1,1,2,"Jun 27, 2018",506557,United States,USA
"THM group, Dept of Infectious Diseases; Aarhus University Hospital ",-,1,1,1,"Nov 21, 2019",507312,Denmark,DNK
"Hb Lab, Kinderklinik Ulm; University Hospital Ulm",-,1,1,3,"Mar 21, 2018",506542,Germany,DEU
John Walton Muscular Dystrophy Research Centre; Newcastle University,Assertion criteria,1,1,1,"Jun 06, 2019",507034,United Kingdom,GBR
Rademakers Lab; Mayo Clinic,-,1,1,1,"Nov 28, 2014",504936,United States,USA
"Indiana University School of Medicine, Medical & Molecular Genetics; Indiana University School of Medicine",Assertion criteria,1,1,39,"Oct 25, 2019",507189,United States,USA
Keegan Laboratory; University of Michigan,Assertion criteria,1,1,2,"Mar 23, 2016",299380,United States,USA
Michigan Center for Translational Pathology; University of Michigan,-,1,1,33,"Jan 23, 2019",506850,United States,USA
UT Southwestern Medical Center,Assertion criteria,1,1,1,"Oct 11, 2019",507157,United States,USA
Pediatric Molecular Hematology Laboratory; Schneider Children's Medical Center of Israel,-,1,1,3,"Jun 20, 2017",319861,Israel,ISR
Department of Neuroscience,-,1,1,1,"Aug 05, 2013",500131,Saudi Arabia,SAU
ISCA site 18,-,1,1,21,"Jun 21, 2014",505288,United States,USA
Centro Diagnostico Italiano,-,1,1,1,"Nov 16, 2015",505411,Italy,ITA
Health in Code,Assertion criteria,1,1,2,"Jul 30, 2020",320229,Spain,ESP
Scientific Bio-Minds,-,1,0,1,"Jul 08, 2010",504799,India,IND
Institute of metabolic science,-,1,1,1,"Nov 11, 2015",505568,United Kingdom,GBR
